Team
ahq eSports Club
Alliance
Cloud9
Dark Passage
EDward Gaming
Fnatic
KaBuM! Esports
LMQ
NaJin White Shield
Oh My God
Royal Club
Samsung Blue
Samsung White
SK Gaming
Taipei Assassins
TSM
Beşiktaş Esports
SK Telecom T1
Bangkok Titans
Counter Logic Gaming
Flash Wolves
H2k-Gaming
Invictus Gaming
KT Rolster
LGD Gaming
Origen
paiN Gaming
ROX Tigers
G2 Esports
Papara SuperMassive
Royal Never Give Up
Albus NoX Luna
I May
INTZ
Samsung Galaxy
Splyce
GAM Esports
Team WE
Fenerbahçe Esports
Immortals
Longzhu Gaming
Misfits Gaming
EVOS Esports
Kingzone DragonX
Team Liquid
100 Thieves
G-Rex
Gen.G
Kwangdong Freecs
MAD Team
Phong Vũ Buffalo
Team Vitality
Clutch Gaming
Dplus KIA
FunPlus Phoenix
Griffin
Hong Kong Attitude
J Team
DRX
FlyQuest
JD Gaming
Machi Esports
PSG Talon
Rogue
Suning
Top Esports
Unicorns of Love.CIS
DetonatioN FocusMe
INFINITY
İstanbul Wildcats
MAD Lions KOI
Pentanet.GG
Hanwha Life Esports
LNG Esports
T1
Evil Geniuses
ORDER
RED Canids
Saigon Buffalo
Team Aze
CTBC Flying Oyster
Bilibili Gaming
Golden Guardians
LOUD
Movistar R7
NRG
Team BDS
Weibo Gaming
