gameid,league,year,date,game,side,position,playername,teamname,champion,result
TRLH3/1000430019,WLDs,2014,2014-09-18 08:59:56,1.0,Blue,top,Korol,EDward Gaming,Maokai,0
TRLH3/1000430019,WLDs,2014,2014-09-18 08:59:56,1.0,Blue,jng,Clearlove,EDward Gaming,Jarvan IV,0
TRLH3/1000430019,WLDs,2014,2014-09-18 08:59:56,1.0,Blue,mid,U,EDward Gaming,Orianna,0
TRLH3/1000430019,WLDs,2014,2014-09-18 08:59:56,1.0,Blue,bot,NaMei,EDward Gaming,Lucian,0
TRLH3/1000430019,WLDs,2014,2014-09-18 08:59:56,1.0,Blue,sup,FZZF,EDward Gaming,Thresh,0
TRLH3/1000430019,WLDs,2014,2014-09-18 08:59:56,1.0,Red,top,Looper,Samsung White,Rumble,1
TRLH3/1000430019,WLDs,2014,2014-09-18 08:59:56,1.0,Red,jng,DanDy,Samsung White,Kha'Zix,1
TRLH3/1000430019,WLDs,2014,2014-09-18 08:59:56,1.0,Red,mid,PawN,Samsung White,Zilean,1
TRLH3/1000430019,WLDs,2014,2014-09-18 08:59:56,1.0,Red,bot,imp,Samsung White,Tristana,1
TRLH3/1000430019,WLDs,2014,2014-09-18 08:59:56,1.0,Red,sup,Mata,Samsung White,Nami,1
TRLH3/1000430033,WLDs,2014,2014-09-18 10:38:54,1.0,Blue,top,Dyrus,TSM,Alistar,1
TRLH3/1000430033,WLDs,2014,2014-09-18 10:38:54,1.0,Blue,jng,Amazing,TSM,Lee Sin,1
TRLH3/1000430033,WLDs,2014,2014-09-18 10:38:54,1.0,Blue,mid,Bjergsen,TSM,Yasuo,1
TRLH3/1000430033,WLDs,2014,2014-09-18 10:38:54,1.0,Blue,bot,WildTurtle,TSM,Tristana,1
TRLH3/1000430033,WLDs,2014,2014-09-18 10:38:54,1.0,Blue,sup,Lustboy,TSM,Nami,1
TRLH3/1000430033,WLDs,2014,2014-09-18 10:38:54,1.0,Red,top,fredy122,SK Gaming,Dr. Mundo,0
TRLH3/1000430033,WLDs,2014,2014-09-18 10:38:54,1.0,Red,jng,Gilius,SK Gaming,Kha'Zix,0
TRLH3/1000430033,WLDs,2014,2014-09-18 10:38:54,1.0,Red,mid,Jesiz,SK Gaming,Orianna,0
TRLH3/1000430033,WLDs,2014,2014-09-18 10:38:54,1.0,Red,bot,CandyPanda,SK Gaming,Lucian,0
TRLH3/1000430033,WLDs,2014,2014-09-18 10:38:54,1.0,Red,sup,nRated,SK Gaming,Sona,0
TRLH3/1000430034,WLDs,2014,2014-09-18 11:21:43,1.0,Blue,top,fabFabulous,Dark Passage,Maokai,0
TRLH3/1000430034,WLDs,2014,2014-09-18 11:21:43,1.0,Blue,jng,Crystal,Dark Passage,Lee Sin,0
TRLH3/1000430034,WLDs,2014,2014-09-18 11:21:43,1.0,Blue,mid,Naru,Dark Passage,Syndra,0
TRLH3/1000430034,WLDs,2014,2014-09-18 11:21:43,1.0,Blue,bot,HolyPhoenix,Dark Passage,Tristana,0
TRLH3/1000430034,WLDs,2014,2014-09-18 11:21:43,1.0,Blue,sup,Touch,Dark Passage,Nami,0
TRLH3/1000430034,WLDs,2014,2014-09-18 11:21:43,1.0,Red,top,Prydz,ahq eSports Club,Nidalee,1
TRLH3/1000430034,WLDs,2014,2014-09-18 11:21:43,1.0,Red,jng,Naz,ahq eSports Club,Kha'Zix,1
TRLH3/1000430034,WLDs,2014,2014-09-18 11:21:43,1.0,Red,mid,Westdoor,ahq eSports Club,Fizz,1
TRLH3/1000430034,WLDs,2014,2014-09-18 11:21:43,1.0,Red,bot,GarnetDevil,ahq eSports Club,Lucian,1
TRLH3/1000430034,WLDs,2014,2014-09-18 11:21:43,1.0,Red,sup,GreenTea,ahq eSports Club,Thresh,1
TRLH3/1000430040,WLDs,2014,2014-09-18 12:33:15,1.0,Blue,top,Achie,Taipei Assassins,Dr. Mundo,0
TRLH3/1000430040,WLDs,2014,2014-09-18 12:33:15,1.0,Blue,jng,Winds,Taipei Assassins,Lee Sin,0
TRLH3/1000430040,WLDs,2014,2014-09-18 12:33:15,1.0,Blue,mid,Morning,Taipei Assassins,Syndra,0
TRLH3/1000430040,WLDs,2014,2014-09-18 12:33:15,1.0,Blue,bot,BeBe,Taipei Assassins,Lucian,0
TRLH3/1000430040,WLDs,2014,2014-09-18 12:33:15,1.0,Blue,sup,Chieh,Taipei Assassins,Janna,0
TRLH3/1000430040,WLDs,2014,2014-09-18 12:33:15,1.0,Red,top,Cola,Royal Club,Ryze,1
TRLH3/1000430040,WLDs,2014,2014-09-18 12:33:15,1.0,Red,jng,inSec,Royal Club,Kha'Zix,1
TRLH3/1000430040,WLDs,2014,2014-09-18 12:33:15,1.0,Red,mid,Corn,Royal Club,Orianna,1
TRLH3/1000430040,WLDs,2014,2014-09-18 12:33:15,1.0,Red,bot,Uzi,Royal Club,Caitlyn,1
TRLH3/1000430040,WLDs,2014,2014-09-18 12:33:15,1.0,Red,sup,Zero,Royal Club,Nami,1
TRLH3/1000430047,WLDs,2014,2014-09-18 14:02:55,1.0,Blue,top,Looper,Samsung White,Maokai,1
TRLH3/1000430047,WLDs,2014,2014-09-18 14:02:55,1.0,Blue,jng,DanDy,Samsung White,Lee Sin,1
TRLH3/1000430047,WLDs,2014,2014-09-18 14:02:55,1.0,Blue,mid,PawN,Samsung White,Yasuo,1
TRLH3/1000430047,WLDs,2014,2014-09-18 14:02:55,1.0,Blue,bot,imp,Samsung White,Twitch,1
TRLH3/1000430047,WLDs,2014,2014-09-18 14:02:55,1.0,Blue,sup,Mata,Samsung White,Thresh,1
