"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"5kid","Team Aze","ADC",6,"17%","50%",8,25,15,0.9,"53.5%","18.6%","20.3%","17%",-660,-368,20.2,8.8,"32.8%",367,"21.6%","20.1%",241,"24.7%",0,0.4,0.17,0.25
"Aegis","RED Canids","Jungle",7,"29%","43%",32,22,31,2.9,"76.8%","39.0%","19.3%","57%",56,0,2,7.2,"21.4%",343,"19.8%","21.2%",252,"23.3%",0,0.33,0.26,0.19
"Aloned","Team Aze","Middle",6,"17%","83%",6,22,13,0.9,"44.2%","14.0%","17.9%","0%",-1068,-423,-7.8,7.3,"22.0%",304,"19.9%","23.4%",192,"21.3%",0,0.5,0.19,0.2
"Azhi","PSG Talon","Top",2,"0%","100%",3,6,10,2.2,"68.4%","15.8%","13.6%","0%",-846,-502,-24.5,6.7,"24.0%",309,"17.7%","18.3%",167,"18.6%",0,0.23,0.07,0.19
"Bay","PSG Talon","Middle",17,"35%","65%",36,50,85,2.4,"65.4%","19.5%","21.1%","18%",-234,-104,-2.3,7.7,"22.3%",361,"22.7%","22.4%",221,"21.5%",0,0.58,0.25,0.25
"BeanJ","Saigon Buffalo","Jungle",16,"38%","69%",56,60,95,2.5,"65.9%","24.5%","20.7%","13%",-18,-82,2.4,6.6,"14.7%",306,"16.0%","15.9%",207,"18.3%",0,0.4,0.33,0.27
"Bin","Royal Never Give Up","Top",27,"85%","41%",98,62,162,4.2,"50.1%","18.9%","23.8%","26%",185,146,2.4,8.4,"24.8%",514,"24.8%","22.3%",295,"22.0%",1,0.39,0.16,0.16
"BioPanther","ORDER","Top",8,"0%","63%",7,24,15,0.9,"45.8%","14.6%","14.7%","0%",-427,-545,-10.4,8.1,"28.4%",326,"21.2%","20.6%",215,"24.2%",0,0.43,0.13,0.14
"BrokenBlade","G2 Esports","Top",21,"62%","52%",58,44,101,3.6,"50.8%","18.5%","17.4%","14%",-2,-90,-3.8,7.7,"23.6%",414,"23.2%","22.0%",250,"21.2%",0,0.49,0.23,0.12
"Caps","G2 Esports","Middle",21,"62%","48%",82,57,125,3.6,"66.1%","26.2%","22.5%","19%",112,36,0.1,8.3,"23.4%",487,"26.2%","25.2%",288,"23.7%",0,0.43,0.11,0.23
"Corporal","ORDER","Support",8,"0%","0%",3,43,25,0.7,"58.3%","6.3%","26.4%","0%",-328,-423,-3.8,1,"3.1%",150,"9.4%","8.4%",71,"8.0%",0,1.29,0.42,0.36
"Danny","Evil Geniuses","ADC",21,"43%","67%",74,57,108,3.2,"59.9%","24.3%","19.1%","14%",65,37,4.7,9.6,"30.9%",498,"26.8%","29.4%",303,"25.5%",0,0.41,0.08,0.39
"Dimitry","Team Aze","Jungle",6,"17%","17%",12,32,21,1,"76.7%","27.9%","26.0%","50%",-454,-367,-2.7,6.3,"14.7%",343,"22.2%","26.7%",193,"19.5%",0,0.37,0.23,0.3
"Evi","DetonatioN FocusMe","Top",6,"17%","67%",20,22,23,2,"43.4%","20.2%","20.2%","33%",-163,156,-8.3,7.5,"23.9%",406,"23.2%","20.6%",247,"21.0%",0,0.3,0.12,0.25
"Faker","T1","Middle",24,"75%","50%",81,44,126,4.7,"55.6%","21.8%","16.9%","17%",308,134,6.3,8.3,"22.2%",442,"22.4%","22.9%",281,"21.3%",0,0.52,0.19,0.27
"Farfetch","İstanbul Wildcats","Support",7,"14%","29%",11,48,27,0.8,"56.7%","16.4%","30.6%","14%",-150,-268,0.4,1.3,"4.3%",169,"10.1%","9.6%",100,"10.3%",0,1.16,0.26,0.4
"Ferret","İstanbul Wildcats","Jungle",7,"14%","57%",17,32,32,1.5,"73.1%","25.4%","20.4%","29%",-492,-235,-5.1,6.1,"17.5%",287,"17.2%","17.6%",198,"20.2%",0,0.41,0.26,0.37
"Flakked","G2 Esports","ADC",21,"62%","43%",78,46,109,4.1,"59.7%","24.9%","18.2%","29%",-110,38,-4.6,9.1,"30.3%",467,"24.6%","27.8%",309,"25.8%",0,0.6,0.16,0.31
"Froggy","Saigon Buffalo","Middle",16,"38%","50%",39,58,107,2.5,"63.8%","17.0%","20.0%","6%",-222,-74,-4.8,7.8,"23.5%",447,"24.7%","24.2%",251,"21.8%",0,0.5,0.11,0.21
"GALA","Royal Never Give Up","ADC",27,"85%","33%",147,46,161,6.7,"59.3%","28.3%","17.6%","37%",278,114,6.9,9.9,"31.8%",543,"26.1%","28.9%",346,"26.5%",0,0.31,0.11,0.35
"Grevthar","RED Canids","Middle",7,"29%","43%",10,17,41,3,"62.2%","12.2%","14.9%","29%",-262,-238,-2.1,7.3,"20.3%",377,"22.2%","24.3%",197,"18.9%",0,0.5,0.24,0.18
"GUIGO","RED Canids","Top",7,"29%","43%",10,24,23,1.4,"40.2%","12.2%","21.1%","29%",-13,-89,9,8.3,"29.0%",441,"26.8%","21.8%",249,"23.8%",0,0.38,0.08,0.15
"Gumayusi","T1","ADC",24,"75%","46%",91,50,129,4.4,"59.1%","24.5%","19.2%","17%",91,-119,-0.9,9.5,"30.7%",466,"23.2%","24.8%",331,"25.1%",1,0.58,0.21,0.32
"Hanabi","PSG Talon","Top",15,"40%","33%",35,38,73,2.8,"65.1%","21.1%","19.7%","20%",-23,38,-2.7,8.2,"25.7%",473,"30.1%","27.7%",246,"23.3%",0,0.37,0.14,0.21
"Harp","DetonatioN FocusMe","Support",6,"17%","50%",4,23,67,3.1,"71.7%","4.0%","21.1%","17%",262,-138,7.8,1.9,"5.1%",176,"9.4%","7.9%",127,"11.0%",0,1.39,0.59,0.4
"Hasmed","Saigon Buffalo","Top",16,"38%","63%",54,62,55,1.8,"47.6%","23.6%","21.4%","0%",-49,-77,4.3,8.1,"24.7%",482,"25.7%","25.8%",253,"22.2%",0,0.3,0.15,0.21
"HolyPhoenix","İstanbul Wildcats","ADC",7,"14%","43%",18,26,30,1.8,"71.6%","26.9%","16.6%","14%",-410,-44,-10.4,8.7,"31.6%",394,"24.1%","25.4%",275,"27.0%",0,0.35,0.09,0.25
"Impact","Evil Geniuses","Top",21,"43%","48%",60,64,111,2.7,"56.3%","19.7%","21.4%","14%",-163,55,-1.3,7.9,"24.6%",465,"25.0%","23.5%",263,"22.8%",0,0.39,0.1,0.18
"Inspired","Evil Geniuses","Jungle",21,"43%","71%",83,50,120,4.1,"66.8%","27.3%","16.7%","14%",72,293,6.2,8.2,"20.5%",338,"17.9%","18.6%",244,"20.8%",2,0.36,0.19,0.35
"Jankos","G2 Esports","Jungle",21,"62%","38%",67,61,125,3.1,"61.3%","21.4%","24.1%","48%",27,-120,-5.4,7.1,"18.6%",318,"17.0%","17.0%",230,"19.1%",1,0.45,0.21,0.49
"Jojo","RED Canids","Support",7,"29%","71%",8,26,45,2,"64.6%","9.8%","22.8%","71%",-59,-287,2.1,1.2,"2.7%",91,"5.9%","5.7%",96,"9.0%",0,1.36,0.52,0.39
"jojopyun","Evil Geniuses","Middle",21,"43%","43%",78,57,123,3.5,"66.1%","25.7%","19.1%","24%",134,-37,1.5,7.7,"21.3%",433,"22.8%","21.4%",256,"22.2%",0,0.39,0.17,0.23
"Juhan","PSG Talon","Jungle",17,"35%","24%",48,60,70,2,"63.8%","25.9%","25.3%","18%",-104,-104,-4.4,6.8,"17.0%",275,"17.0%","17.7%",198,"19.1%",0,0.73,0.46,0.47
"Kaiwing","PSG Talon","Support",17,"35%","41%",12,46,128,3,"75.7%","6.5%","19.4%","18%",-80,32,-1.2,1.1,"2.7%",111,"7.2%","6.2%",95,"9.0%",0,1.58,0.45,0.38
"Keria","T1","Support",24,"75%","50%",36,60,212,4.1,"66.7%","9.7%","23.1%","25%",259,221,2.7,1.4,"3.6%",228,"11.2%","9.8%",141,"10.7%",0,1.59,0.48,0.31
"Kevy","ORDER","Jungle",8,"0%","25%",15,38,21,0.9,"75.0%","31.3%","23.3%","0%",-828,-430,-7.5,7.1,"20.2%",326,"20.3%","22.4%",186,"20.5%",1,0.28,0.1,0.29
"Kisee","ORDER","Middle",8,"0%","75%",11,38,19,0.8,"62.5%","22.9%","23.3%","0%",-569,-42,0.4,7.3,"20.8%",413,"27.5%","25.7%",194,"21.9%",0,0.32,0.08,0.13
"Lonely","Team Aze","Top",6,"17%","67%",12,19,11,1.2,"53.5%","27.9%","15.4%","33%",-115,-303,-3.2,8,"27.0%",409,"28.3%","24.4%",248,"25.3%",0,0.39,0.17,0.17
"Ming","Royal Never Give Up","Support",27,"85%","67%",30,57,312,6,"65.9%","5.8%","21.8%","44%",199,242,-0.4,1.2,"3.3%",178,"8.4%","7.9%",135,"10.2%",0,1.76,0.45,0.42
"Oner","T1","Jungle",24,"75%","42%",76,46,163,5.2,"64.2%","20.4%","17.7%","33%",85,108,3.7,7.3,"17.1%",312,"15.4%","16.5%",251,"19.0%",0,0.47,0.26,0.34
"Puma","ORDER","ADC",8,"0%","50%",12,20,16,1.4,"58.3%","25.0%","12.3%","0%",-278,22,-5.5,8.6,"27.5%",362,"21.5%","23.0%",229,"25.4%",0,0.37,0.15,0.16
"Serin","İstanbul Wildcats","Middle",7,"14%","43%",11,22,36,2.1,"70.1%","16.4%","14.0%","14%",-191,83,0.6,8,"25.2%",399,"23.2%","23.4%",221,"22.0%",0,0.54,0.14,0.15
"Shogun","Saigon Buffalo","ADC",16,"38%","50%",69,54,86,2.9,"67.7%","30.1%","18.6%","19%",123,-66,-2.9,9.9,"34.2%",496,"25.8%","27.4%",326,"28.0%",0,0.42,0.11,0.32
"StarScreen","İstanbul Wildcats","Top",7,"14%","71%",10,29,19,1,"43.3%","14.9%","18.5%","14%",-427,-387,-14.3,7.4,"21.4%",424,"25.3%","24.0%",207,"20.5%",0,0.37,0.08,0.1
"Steal","DetonatioN FocusMe","Jungle",6,"17%","50%",30,20,37,3.4,"67.7%","30.3%","18.3%","50%",273,2,-4,6.6,"19.5%",338,"18.2%","18.8%",246,"20.7%",0,0.56,0.42,0.59
