"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Bilibili Gaming",26,17,9,32.1,426,350,1.22,0.93,1,"3.4%",60.9,4.5,1030,"62%","54%","77%",6,"54%","62%","61%","0%","58%","56%","49.8%","52.3%",3.54,1.27,1.72
"Cloud9",10,3,7,30.4,116,145,0.8,0.86,-0.91,"-7.0%",37.7,-7.7,-1016,"20%","20%","30%",3.5,"35%","60%","41%","100%","20%","31%","49.3%","46.8%",3.72,0.97,1.63
"DetonatioN FocusMe",4,0,4,32.7,40,72,0.56,0.86,-0.57,"-8.6%",32.6,-32.6,-1664,"100%","50%","25%",2.8,"38%","0%","20%","50%","25%","14%","49.4%","45.7%",3.03,1.4,1.46
"G2 Esports",15,9,6,29.3,250,232,1.08,1.09,0,"1.1%",42.9,17.1,-607,"47%","33%","27%",5.3,"60%","47%","40%",,"53%","67%","49.7%","50.0%",3.1,0.93,1.31
"GAM Esports",5,1,4,30.3,63,93,0.68,1.03,-1.03,"-6.0%",27.2,-7.2,-1081,"20%","40%","0%",3.6,"50%","20%","30%",,"40%","40%","48.8%","47.5%",3.29,1.34,1.36
"Gen.G",15,8,7,29.5,204,182,1.12,0.87,0.4,"5.1%",53,0.3,1065,"53%","60%","53%",5.9,"60%","27%","42%",,"33%","38%","51.5%","53.1%",3.25,1.22,1.89
"Golden Guardians",17,9,8,30,231,215,1.07,0.87,-0.15,"-0.6%",50.4,2.5,-278,"53%","53%","53%",4.8,"62%","41%","54%","0%","59%","58%","49.9%","47.4%",3.56,1.28,1.71
"JD Gaming",15,12,3,28.8,234,127,1.84,0.83,0.89,"8.4%",61.6,18.4,1234,"80%","60%","60%",4.4,"40%","53%","61%",,"53%","69%","50.7%","54.0%",3.17,1.21,1.74
"LOUD",6,2,4,27.5,64,96,0.67,0.97,-1.54,"-5.9%",35.9,-2.5,-2135,"17%","33%","50%",3.3,"50%","50%","48%",,"50%","50%","49.0%","47.6%",3.18,1.44,1.45
"MAD Lions KOI",6,0,6,25.3,70,123,0.57,1.26,-0.31,"-6.5%",47.5,-47.5,-159,"83%","50%","50%",5,"25%","50%","37%",,"0%","0%","50.3%","48.6%",2.78,0.85,1.2
"Movistar R7",7,2,5,27.8,74,136,0.54,1.08,-2.22,"-13.8%",29.4,-0.8,-3035,"57%","14%","43%",2.9,"14%","57%","38%",,"29%","29%","50.1%","46.8%",2.93,1.21,1.21
"PSG Talon",9,4,5,34.5,135,147,0.92,0.91,-0.31,"-1.4%",56.9,-12.4,619,"22%","56%","33%",4.8,"44%","67%","59%","50%","44%","47%","50.0%","51.8%",3.31,1.46,1.68
"T1",17,9,8,29.9,216,215,1,0.84,0.04,"1.2%",54.9,-2,248,"29%","76%","59%",5.4,"62%","65%","56%","100%","47%","60%","49.8%","48.3%",3.59,1.37,1.57
