gameid,league,year,date,game,side,position,playername,teamname,champion,ban1,ban2,ban3,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstbloodkill,firstbloodvictim
TRLH3/1000430019,WLDs,2014,2014-09-18 08:59:56,1.0,Blue,top,Korol,EDward Gaming,Maokai,Yasuo,Kassadin,Alistar,2637,0,0,6,6,11,20,0.0,0.0,0.0,0.0,0.0,1.0
TRLH3/1000430019,WLDs,2014,2014-09-18 08:59:56,1.0,Blue,jng,Clearlove,EDward Gaming,Jarvan IV,Yasuo,Kassadin,Alistar,2637,0,2,3,7,11,20,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430019,WLDs,2014,2014-09-18 08:59:56,1.0,Blue,mid,U,EDward Gaming,Orianna,Yasuo,Kassadin,Alistar,2637,0,4,4,3,11,20,1.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430019,WLDs,2014,2014-09-18 08:59:56,1.0,Blue,bot,NaMei,EDward Gaming,Lucian,Yasuo,Kassadin,Alistar,2637,0,4,4,5,11,20,1.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430019,WLDs,2014,2014-09-18 08:59:56,1.0,Blue,sup,FZZF,EDward Gaming,Thresh,Yasuo,Kassadin,Alistar,2637,0,1,3,9,11,20,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430019,WLDs,2014,2014-09-18 08:59:56,1.0,Red,top,Looper,Samsung White,Rumble,Twitch,Ryze,Janna,2637,1,3,3,10,20,11,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430019,WLDs,2014,2014-09-18 08:59:56,1.0,Red,jng,DanDy,Samsung White,Kha'Zix,Twitch,Ryze,Janna,2637,1,3,1,9,20,11,0.0,0.0,0.0,0.0,1.0,0.0
TRLH3/1000430019,WLDs,2014,2014-09-18 08:59:56,1.0,Red,mid,PawN,Samsung White,Zilean,Twitch,Ryze,Janna,2637,1,2,4,10,20,11,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430019,WLDs,2014,2014-09-18 08:59:56,1.0,Red,bot,imp,Samsung White,Tristana,Twitch,Ryze,Janna,2637,1,9,2,7,20,11,2.0,2.0,0.0,0.0,0.0,0.0
TRLH3/1000430019,WLDs,2014,2014-09-18 08:59:56,1.0,Red,sup,Mata,Samsung White,Nami,Twitch,Ryze,Janna,2637,1,3,1,14,20,11,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430033,WLDs,2014,2014-09-18 10:38:54,1.0,Blue,top,Dyrus,TSM,Alistar,Nidalee,Kayle,Aatrox,1425,1,2,0,8,15,1,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430033,WLDs,2014,2014-09-18 10:38:54,1.0,Blue,jng,Amazing,TSM,Lee Sin,Nidalee,Kayle,Aatrox,1425,1,3,1,9,15,1,0.0,0.0,0.0,0.0,1.0,0.0
TRLH3/1000430033,WLDs,2014,2014-09-18 10:38:54,1.0,Blue,mid,Bjergsen,TSM,Yasuo,Nidalee,Kayle,Aatrox,1425,1,5,0,6,15,1,1.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430033,WLDs,2014,2014-09-18 10:38:54,1.0,Blue,bot,WildTurtle,TSM,Tristana,Nidalee,Kayle,Aatrox,1425,1,5,0,3,15,1,1.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430033,WLDs,2014,2014-09-18 10:38:54,1.0,Blue,sup,Lustboy,TSM,Nami,Nidalee,Kayle,Aatrox,1425,1,0,0,9,15,1,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430033,WLDs,2014,2014-09-18 10:38:54,1.0,Red,top,fredy122,SK Gaming,Dr. Mundo,Lulu,Zed,Syndra,1425,0,0,3,0,1,15,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430033,WLDs,2014,2014-09-18 10:38:54,1.0,Red,jng,Gilius,SK Gaming,Kha'Zix,Lulu,Zed,Syndra,1425,0,0,3,1,1,15,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430033,WLDs,2014,2014-09-18 10:38:54,1.0,Red,mid,Jesiz,SK Gaming,Orianna,Lulu,Zed,Syndra,1425,0,0,5,0,1,15,0.0,0.0,0.0,0.0,0.0,1.0
TRLH3/1000430033,WLDs,2014,2014-09-18 10:38:54,1.0,Red,bot,CandyPanda,SK Gaming,Lucian,Lulu,Zed,Syndra,1425,0,1,2,0,1,15,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430033,WLDs,2014,2014-09-18 10:38:54,1.0,Red,sup,nRated,SK Gaming,Sona,Lulu,Zed,Syndra,1425,0,0,2,1,1,15,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430034,WLDs,2014,2014-09-18 11:21:43,1.0,Blue,top,fabFabulous,Dark Passage,Maokai,Twitch,Twisted Fate,Zed,2408,0,1,3,6,8,19,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430034,WLDs,2014,2014-09-18 11:21:43,1.0,Blue,jng,Crystal,Dark Passage,Lee Sin,Twitch,Twisted Fate,Zed,2408,0,0,3,4,8,19,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430034,WLDs,2014,2014-09-18 11:21:43,1.0,Blue,mid,Naru,Dark Passage,Syndra,Twitch,Twisted Fate,Zed,2408,0,1,4,2,8,19,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430034,WLDs,2014,2014-09-18 11:21:43,1.0,Blue,bot,HolyPhoenix,Dark Passage,Tristana,Twitch,Twisted Fate,Zed,2408,0,6,4,1,8,19,1.0,1.0,0.0,0.0,0.0,1.0
TRLH3/1000430034,WLDs,2014,2014-09-18 11:21:43,1.0,Blue,sup,Touch,Dark Passage,Nami,Twitch,Twisted Fate,Zed,2408,0,0,5,4,8,19,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430034,WLDs,2014,2014-09-18 11:21:43,1.0,Red,top,Prydz,ahq eSports Club,Nidalee,Alistar,Ryze,Zilean,2408,1,2,2,6,19,8,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430034,WLDs,2014,2014-09-18 11:21:43,1.0,Red,jng,Naz,ahq eSports Club,Kha'Zix,Alistar,Ryze,Zilean,2408,1,3,1,7,19,8,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430034,WLDs,2014,2014-09-18 11:21:43,1.0,Red,mid,Westdoor,ahq eSports Club,Fizz,Alistar,Ryze,Zilean,2408,1,7,2,7,19,8,1.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430034,WLDs,2014,2014-09-18 11:21:43,1.0,Red,bot,GarnetDevil,ahq eSports Club,Lucian,Alistar,Ryze,Zilean,2408,1,6,1,7,19,8,1.0,0.0,0.0,0.0,1.0,0.0
TRLH3/1000430034,WLDs,2014,2014-09-18 11:21:43,1.0,Red,sup,GreenTea,ahq eSports Club,Thresh,Alistar,Ryze,Zilean,2408,1,1,2,11,19,8,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430040,WLDs,2014,2014-09-18 12:33:15,1.0,Blue,top,Achie,Taipei Assassins,Dr. Mundo,Fizz,Rengar,Maokai,3394,0,0,2,4,10,15,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430040,WLDs,2014,2014-09-18 12:33:15,1.0,Blue,jng,Winds,Taipei Assassins,Lee Sin,Fizz,Rengar,Maokai,3394,0,4,3,3,10,15,1.0,1.0,0.0,0.0,1.0,0.0
TRLH3/1000430040,WLDs,2014,2014-09-18 12:33:15,1.0,Blue,mid,Morning,Taipei Assassins,Syndra,Fizz,Rengar,Maokai,3394,0,2,4,4,10,15,1.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430040,WLDs,2014,2014-09-18 12:33:15,1.0,Blue,bot,BeBe,Taipei Assassins,Lucian,Fizz,Rengar,Maokai,3394,0,3,4,4,10,15,0.0,0.0,0.0,0.0,0.0,0.0
TRLH3/1000430040,WLDs,2014,2014-09-18 12:33:15,1.0,Blue,sup,Chieh,Taipei Assassins,Janna,Fizz,Rengar,Maokai,3394,0,1,2,5,10,15,0.0,0.0,0.0,0.0,0.0,0.0
