id_ekipa,Team
1,ahq eSports Club
2,Alliance
3,Cloud9
4,Dark Passage
5,EDward Gaming
6,Fnatic
7,KaBuM! Esports
8,LMQ
9,NaJin White Shield
10,Oh My God
11,Royal Club
12,Samsung Blue
13,Samsung White
14,SK Gaming
15,Taipei Assassins
16,TSM
17,Beşiktaş Esports
18,SK Telecom T1
19,Bangkok Titans
20,Counter Logic Gaming
21,Flash Wolves
22,H2k-Gaming
23,Invictus Gaming
24,KT Rolster
25,LGD Gaming
26,Origen
27,paiN Gaming
28,ROX Tigers
29,G2 Esports
30,Papara SuperMassive
31,Royal Never Give Up
32,Albus NoX Luna
33,I May
34,INTZ
35,Samsung Galaxy
36,Splyce
37,GAM Esports
38,Team WE
39,Fenerbahçe Esports
40,Immortals
41,Longzhu Gaming
42,Misfits Gaming
43,EVOS Esports
44,Kingzone DragonX
45,Team Liquid
46,100 Thieves
47,G-Rex
48,Gen.G
49,Kwangdong Freecs
50,MAD Team
51,Phong Vũ Buffalo
52,Team Vitality
53,Clutch Gaming
54,Dplus KIA
55,FunPlus Phoenix
56,Griffin
57,Hong Kong Attitude
58,J Team
59,DRX
60,FlyQuest
61,JD Gaming
62,Machi Esports
63,PSG Talon
64,Rogue
65,Suning
66,Top Esports
67,Unicorns of Love.CIS
68,DetonatioN FocusMe
69,INFINITY
70,İstanbul Wildcats
71,MAD Lions KOI
72,Pentanet.GG
73,Hanwha Life Esports
74,LNG Esports
75,T1
76,Evil Geniuses
77,ORDER
78,RED Canids
79,Saigon Buffalo
80,Team Aze
81,CTBC Flying Oyster
82,Bilibili Gaming
83,Golden Guardians
84,LOUD
85,Movistar R7
86,NRG
87,Team BDS
88,Weibo Gaming
