id_igralec,Player,Pos
1,007x,Jungle
2,369,Top
3,3z,Top
4,5kid,ADC
5,957,Top
6,ACKERMAN,Support
7,AHaHaCiK,Jungle
8,APA,Middle
9,Abbedagge,Middle
10,Achie,Top
11,Achuu,ADC
12,Acorn,Top
13,Adam,Top
14,Aegis,Jungle
15,Aiming,ADC
16,Albis,Support
17,Ale,Top
18,Alex,Jungle
19,Aloned,Middle
20,Alphari,Top
21,Amazing,Jungle
22,AmazingJ,Top
23,Ambition,Jungle
24,An,ADC
25,AnDa,Jungle
26,Angel,Middle
27,Apex,Middle
28,Archie,Top
29,Archie,Support
30,Aria,Middle
31,Armut,Top
32,Arrow,ADC
33,Athena,Middle
34,Athena,Support
35,Atlen,ADC
36,Attila,ADC
37,Avoidless,Jungle
38,Azhi,Top
39,BEAN,ADC
40,BOSS,Top
41,BaeMe,Middle
42,BalIs,Top
43,Bang,ADC
44,Baolan,Support
45,Bay,Middle
46,Bdd,Middle
47,BeBe,ADC
48,BeanJ,Jungle
49,Ben,Support
50,Bengi,Jungle
51,Benny,Jungle
52,Berserker,ADC
53,BeryL,Support
54,Betty,ADC
55,Bie,Support
56,Bigkoro,ADC
57,Bin,Middle
58,Bin,Top
59,BioPanther,Top
60,Biofrost,Support
61,Bjergsen,Middle
62,Blaber,Jungle
63,Blank,Jungle
64,Bong,Top
65,Breathe,Top
66,Breeze,ADC
67,BrokenBlade,Top
68,Broxah,Jungle
69,Bruce,ADC
70,Buggax,Top
71,Bugi,Jungle
72,Burdol,Top
73,Bwipo,Jungle
74,Bwipo,Top
75,CL0UD,Support
76,Cabochard,Top
77,Candy,Middle
78,CandyPanda,ADC
79,Canna,Top
80,Canyon,Jungle
81,Caps,Middle
82,CarioK,Jungle
83,Carzzy,ADC
84,Ceo,ADC
85,Ceos,Support
86,Chasy,Top
87,Chawy,Middle
88,Chazz,Middle
89,Chieh,Support
90,Chovy,Middle
91,Clearlove,Jungle
92,Clid,Jungle
93,Closer,Jungle
94,Cody Sun,ADC
95,Cola,Top
96,Comp,ADC
