id_igre,league,date,game,teamname,result
1,WLDs,2014-09-18 08:59:56,1.0,EDward Gaming,0
2,WLDs,2014-09-18 08:59:56,1.0,Samsung White,1
3,WLDs,2014-09-18 10:38:54,1.0,TSM,1
4,WLDs,2014-09-18 10:38:54,1.0,SK Gaming,0
5,WLDs,2014-09-18 11:21:43,1.0,Dark Passage,0
6,WLDs,2014-09-18 11:21:43,1.0,ahq eSports Club,1
7,WLDs,2014-09-18 12:33:15,1.0,Taipei Assassins,0
8,WLDs,2014-09-18 12:33:15,1.0,Royal Club,1
9,WLDs,2014-09-18 14:02:55,1.0,Samsung White,1
10,WLDs,2014-09-18 14:02:55,1.0,ahq eSports Club,0
11,WLDs,2014-09-18 14:50:18,1.0,Royal Club,1
12,WLDs,2014-09-18 14:50:18,1.0,TSM,0
13,WLDs,2014-09-19 09:00:49,1.0,Taipei Assassins,1
14,WLDs,2014-09-19 09:00:49,1.0,SK Gaming,0
15,WLDs,2014-09-19 10:11:46,1.0,EDward Gaming,1
16,WLDs,2014-09-19 10:11:46,1.0,Dark Passage,0
17,WLDs,2014-09-19 11:17:24,1.0,Royal Club,1
18,WLDs,2014-09-19 11:17:24,1.0,SK Gaming,0
19,WLDs,2014-09-19 12:19:27,1.0,Dark Passage,0
20,WLDs,2014-09-19 12:19:27,1.0,Samsung White,1
21,WLDs,2014-09-19 13:15:17,1.0,TSM,1
22,WLDs,2014-09-19 13:15:17,1.0,Taipei Assassins,0
23,WLDs,2014-09-19 14:19:56,1.0,EDward Gaming,1
24,WLDs,2014-09-19 14:19:56,1.0,ahq eSports Club,0
25,WLDs,2014-09-20 09:00:00,1.0,Samsung White,1
26,WLDs,2014-09-20 09:00:00,1.0,Dark Passage,0
27,WLDs,2014-09-20 09:51:43,1.0,SK Gaming,0
28,WLDs,2014-09-20 09:51:43,1.0,Royal Club,1
29,WLDs,2014-09-20 10:52:13,1.0,ahq eSports Club,0
30,WLDs,2014-09-20 10:52:13,1.0,Samsung White,1
31,WLDs,2014-09-20 11:49:40,1.0,Taipei Assassins,0
32,WLDs,2014-09-20 11:49:40,1.0,TSM,1
33,WLDs,2014-09-20 12:48:58,1.0,Dark Passage,0
34,WLDs,2014-09-20 12:48:58,1.0,EDward Gaming,1
35,WLDs,2014-09-20 13:44:25,1.0,SK Gaming,1
36,WLDs,2014-09-20 13:44:25,1.0,Taipei Assassins,0
37,WLDs,2014-09-21 08:58:17,1.0,TSM,1
38,WLDs,2014-09-21 08:58:17,1.0,Royal Club,0
39,WLDs,2014-09-21 10:21:51,1.0,ahq eSports Club,1
40,WLDs,2014-09-21 10:21:51,1.0,Dark Passage,0
41,WLDs,2014-09-21 11:23:59,1.0,Royal Club,1
42,WLDs,2014-09-21 11:23:59,1.0,Taipei Assassins,0
43,WLDs,2014-09-21 12:16:51,1.0,ahq eSports Club,1
44,WLDs,2014-09-21 12:16:51,1.0,EDward Gaming,0
45,WLDs,2014-09-21 13:47:17,1.0,SK Gaming,1
46,WLDs,2014-09-21 13:47:17,1.0,TSM,0
47,WLDs,2014-09-21 14:49:11,1.0,Samsung White,1
48,WLDs,2014-09-21 14:49:11,1.0,EDward Gaming,0
49,WLDs,2014-09-21 16:00:19,1.0,EDward Gaming,1
50,WLDs,2014-09-21 16:00:19,1.0,ahq eSports Club,0
51,WLDs,2014-09-25 09:15:13,1.0,LMQ,1
52,WLDs,2014-09-25 09:15:13,1.0,Oh My God,0
53,WLDs,2014-09-25 10:20:08,1.0,NaJin White Shield,1
54,WLDs,2014-09-25 10:20:08,1.0,KaBuM! Esports,0
55,WLDs,2014-09-25 11:16:07,1.0,Samsung Blue,1
56,WLDs,2014-09-25 11:16:07,1.0,Oh My God,0
57,WLDs,2014-09-25 12:18:29,1.0,Cloud9,1
58,WLDs,2014-09-25 12:18:29,1.0,Alliance,0
59,WLDs,2014-09-25 13:43:26,1.0,Fnatic,0
60,WLDs,2014-09-25 13:43:26,1.0,LMQ,1
61,WLDs,2014-09-25 14:36:24,1.0,Cloud9,1
62,WLDs,2014-09-25 14:36:24,1.0,KaBuM! Esports,0
63,WLDs,2014-09-26 08:59:17,1.0,NaJin White Shield,1
64,WLDs,2014-09-26 08:59:17,1.0,Alliance,0
65,WLDs,2014-09-26 10:17:33,1.0,Samsung Blue,0
66,WLDs,2014-09-26 10:17:33,1.0,Fnatic,1
67,WLDs,2014-09-26 11:29:59,1.0,NaJin White Shield,1
68,WLDs,2014-09-26 11:29:59,1.0,Cloud9,0
69,WLDs,2014-09-26 12:34:52,1.0,Oh My God,1
70,WLDs,2014-09-26 12:34:52,1.0,Fnatic,0
71,WLDs,2014-09-26 13:45:59,1.0,Alliance,1
72,WLDs,2014-09-26 13:45:59,1.0,KaBuM! Esports,0
73,WLDs,2014-09-26 14:48:59,1.0,Samsung Blue,1
74,WLDs,2014-09-26 14:48:59,1.0,LMQ,0
75,WLDs,2014-09-27 06:05:33,1.0,Fnatic,0
76,WLDs,2014-09-27 06:05:33,1.0,Oh My God,1
77,WLDs,2014-09-27 07:38:16,1.0,Alliance,1
78,WLDs,2014-09-27 07:38:16,1.0,Cloud9,0
79,WLDs,2014-09-27 08:51:57,1.0,LMQ,0
80,WLDs,2014-09-27 08:51:57,1.0,Fnatic,1
81,WLDs,2014-09-27 09:58:53,1.0,KaBuM! Esports,0
82,WLDs,2014-09-27 09:58:53,1.0,NaJin White Shield,1
83,WLDs,2014-09-27 11:05:58,1.0,Oh My God,0
84,WLDs,2014-09-27 11:05:58,1.0,Samsung Blue,1
85,WLDs,2014-09-27 12:11:08,1.0,Alliance,1
86,WLDs,2014-09-27 12:11:08,1.0,NaJin White Shield,0
87,WLDs,2014-09-28 05:56:38,1.0,KaBuM! Esports,0
88,WLDs,2014-09-28 05:56:38,1.0,Cloud9,1
89,WLDs,2014-09-28 07:00:01,1.0,LMQ,0
90,WLDs,2014-09-28 07:00:01,1.0,Samsung Blue,1
91,WLDs,2014-09-28 08:12:36,1.0,KaBuM! Esports,1
92,WLDs,2014-09-28 08:12:36,1.0,Alliance,0
93,WLDs,2014-09-28 09:14:58,1.0,Fnatic,0
94,WLDs,2014-09-28 09:14:58,1.0,Samsung Blue,1
95,WLDs,2014-09-28 10:30:10,1.0,Cloud9,1
96,WLDs,2014-09-28 10:30:10,1.0,NaJin White Shield,0
97,WLDs,2014-09-28 11:56:48,1.0,Oh My God,1
98,WLDs,2014-09-28 11:56:48,1.0,LMQ,0
99,WLDs,2014-09-28 13:01:35,1.0,NaJin White Shield,1
100,WLDs,2014-09-28 13:01:35,1.0,Cloud9,0
101,WLDs,2014-10-03 08:00:15,1.0,Samsung White,1
102,WLDs,2014-10-03 08:00:15,1.0,TSM,0
103,WLDs,2014-10-03 08:52:20,2.0,TSM,0
104,WLDs,2014-10-03 08:52:20,2.0,Samsung White,1
105,WLDs,2014-10-03 09:46:18,3.0,Samsung White,0
106,WLDs,2014-10-03 09:46:18,3.0,TSM,1
107,WLDs,2014-10-03 10:34:01,4.0,TSM,0
108,WLDs,2014-10-03 10:34:01,4.0,Samsung White,1
109,WLDs,2014-10-04 04:57:23,1.0,Samsung Blue,0
110,WLDs,2014-10-04 04:57:23,1.0,Cloud9,1
111,WLDs,2014-10-04 06:03:58,2.0,Cloud9,0
112,WLDs,2014-10-04 06:03:58,2.0,Samsung Blue,1
113,WLDs,2014-10-04 07:08:31,3.0,Samsung Blue,1
114,WLDs,2014-10-04 07:08:31,3.0,Cloud9,0
115,WLDs,2014-10-04 08:06:32,4.0,Cloud9,0
116,WLDs,2014-10-04 08:06:32,4.0,Samsung Blue,1
117,WLDs,2014-10-05 04:59:34,1.0,Royal Club,1
118,WLDs,2014-10-05 04:59:34,1.0,EDward Gaming,0
119,WLDs,2014-10-05 06:00:26,2.0,EDward Gaming,0
120,WLDs,2014-10-05 06:00:26,2.0,Royal Club,1
121,WLDs,2014-10-05 06:57:52,3.0,Royal Club,0
122,WLDs,2014-10-05 06:57:52,3.0,EDward Gaming,1
123,WLDs,2014-10-05 08:01:11,4.0,EDward Gaming,1
124,WLDs,2014-10-05 08:01:11,4.0,Royal Club,0
125,WLDs,2014-10-05 08:50:39,5.0,Royal Club,1
126,WLDs,2014-10-05 08:50:39,5.0,EDward Gaming,0
127,WLDs,2014-10-06 08:01:31,1.0,NaJin White Shield,0
128,WLDs,2014-10-06 08:01:31,1.0,Oh My God,1
129,WLDs,2014-10-06 09:14:17,2.0,Oh My God,1
130,WLDs,2014-10-06 09:14:17,2.0,NaJin White Shield,0
131,WLDs,2014-10-06 10:25:38,3.0,NaJin White Shield,0
132,WLDs,2014-10-06 10:25:38,3.0,Oh My God,1
133,WLDs,2014-10-11 08:09:39,1.0,Samsung Blue,0
134,WLDs,2014-10-11 08:09:39,1.0,Samsung White,1
135,WLDs,2014-10-11 09:07:57,2.0,Samsung White,1
136,WLDs,2014-10-11 09:07:57,2.0,Samsung Blue,0
137,WLDs,2014-10-11 09:55:32,3.0,Samsung Blue,0
138,WLDs,2014-10-11 09:55:32,3.0,Samsung White,1
139,WLDs,2014-10-12 08:08:05,1.0,Royal Club,0
140,WLDs,2014-10-12 08:08:05,1.0,Oh My God,1
141,WLDs,2014-10-12 09:00:59,2.0,Oh My God,0
142,WLDs,2014-10-12 09:00:59,2.0,Royal Club,1
143,WLDs,2014-10-12 10:10:08,3.0,Royal Club,1
144,WLDs,2014-10-12 10:10:08,3.0,Oh My God,0
145,WLDs,2014-10-12 11:18:42,4.0,Oh My God,1
146,WLDs,2014-10-12 11:18:42,4.0,Royal Club,0
147,WLDs,2014-10-12 12:15:35,5.0,Royal Club,1
148,WLDs,2014-10-12 12:15:35,5.0,Oh My God,0
149,WLDs,2014-10-19 07:01:27,1.0,Royal Club,0
150,WLDs,2014-10-19 07:01:27,1.0,Samsung White,1
151,WLDs,2014-10-19 07:46:07,2.0,Samsung White,1
152,WLDs,2014-10-19 07:46:07,2.0,Royal Club,0
153,WLDs,2014-10-19 08:39:22,3.0,Royal Club,1
154,WLDs,2014-10-19 08:39:22,3.0,Samsung White,0
155,WLDs,2014-10-19 09:44:01,4.0,Samsung White,1
156,WLDs,2014-10-19 09:44:01,4.0,Royal Club,0
157,MSI,2015-05-07 20:02:33,1.0,Fnatic,1
158,MSI,2015-05-07 20:02:33,1.0,TSM,0
159,MSI,2015-05-07 21:17:32,1.0,Beşiktaş Esports,0
160,MSI,2015-05-07 21:17:32,1.0,SK Telecom T1,1
161,MSI,2015-05-07 22:18:12,1.0,EDward Gaming,1
162,MSI,2015-05-07 22:18:12,1.0,ahq eSports Club,0
163,MSI,2015-05-07 23:26:27,1.0,Beşiktaş Esports,0
164,MSI,2015-05-07 23:26:27,1.0,TSM,1
165,MSI,2015-05-08 00:28:20,1.0,Fnatic,0
166,MSI,2015-05-08 00:28:20,1.0,ahq eSports Club,1
167,MSI,2015-05-08 01:25:24,1.0,SK Telecom T1,1
168,MSI,2015-05-08 01:25:24,1.0,EDward Gaming,0
169,MSI,2015-05-08 02:26:20,1.0,ahq eSports Club,1
170,MSI,2015-05-08 02:26:20,1.0,Beşiktaş Esports,0
171,MSI,2015-05-08 03:31:35,1.0,SK Telecom T1,1
172,MSI,2015-05-08 03:31:35,1.0,TSM,0
173,MSI,2015-05-08 20:10:41,1.0,EDward Gaming,1
174,MSI,2015-05-08 20:10:41,1.0,Fnatic,0
175,MSI,2015-05-08 20:59:53,1.0,TSM,0
176,MSI,2015-05-08 20:59:53,1.0,ahq eSports Club,1
177,MSI,2015-05-08 21:59:41,1.0,EDward Gaming,1
178,MSI,2015-05-08 21:59:41,1.0,Beşiktaş Esports,0
179,MSI,2015-05-08 22:49:20,1.0,SK Telecom T1,1
180,MSI,2015-05-08 22:49:20,1.0,Fnatic,0
181,MSI,2015-05-09 00:00:42,1.0,TSM,0
182,MSI,2015-05-09 00:00:42,1.0,EDward Gaming,1
183,MSI,2015-05-09 00:59:56,1.0,Fnatic,1
184,MSI,2015-05-09 00:59:56,1.0,Beşiktaş Esports,0
185,MSI,2015-05-09 02:01:19,1.0,ahq eSports Club,0
186,MSI,2015-05-09 02:01:19,1.0,SK Telecom T1,1
187,MSI,2015-05-09 20:00:33,1.0,SK Telecom T1,1
188,MSI,2015-05-09 20:00:33,1.0,Fnatic,0
189,MSI,2015-05-09 21:01:31,2.0,Fnatic,1
190,MSI,2015-05-09 21:01:31,2.0,SK Telecom T1,0
191,MSI,2015-05-09 22:01:00,3.0,SK Telecom T1,1
192,MSI,2015-05-09 22:01:00,3.0,Fnatic,0
193,MSI,2015-05-09 23:11:23,4.0,Fnatic,1
194,MSI,2015-05-09 23:11:23,4.0,SK Telecom T1,0
195,MSI,2015-05-10 00:10:03,5.0,SK Telecom T1,1
196,MSI,2015-05-10 00:10:03,5.0,Fnatic,0
197,MSI,2015-05-10 01:13:43,1.0,EDward Gaming,1
198,MSI,2015-05-10 01:13:43,1.0,ahq eSports Club,0
199,MSI,2015-05-10 02:35:36,2.0,ahq eSports Club,0
200,MSI,2015-05-10 02:35:36,2.0,EDward Gaming,1
201,MSI,2015-05-10 03:26:03,3.0,EDward Gaming,1
202,MSI,2015-05-10 03:26:03,3.0,ahq eSports Club,0
203,MSI,2015-05-10 21:57:45,1.0,SK Telecom T1,1
204,MSI,2015-05-10 21:57:45,1.0,EDward Gaming,0
205,MSI,2015-05-10 23:08:15,2.0,EDward Gaming,1
206,MSI,2015-05-10 23:08:15,2.0,SK Telecom T1,0
207,MSI,2015-05-11 00:06:07,3.0,SK Telecom T1,0
208,MSI,2015-05-11 00:06:07,3.0,EDward Gaming,1
209,MSI,2015-05-11 00:57:56,4.0,EDward Gaming,0
210,MSI,2015-05-11 00:57:56,4.0,SK Telecom T1,1
211,MSI,2015-05-11 01:59:26,5.0,SK Telecom T1,0
212,MSI,2015-05-11 01:59:26,5.0,EDward Gaming,1
213,WLDs,2015-10-01 13:27:18,1.0,Fnatic,1
214,WLDs,2015-10-01 13:27:18,1.0,Invictus Gaming,0
215,WLDs,2015-10-01 15:24:37,1.0,Cloud9,1
216,WLDs,2015-10-01 15:24:37,1.0,ahq eSports Club,0
217,WLDs,2015-10-01 16:18:38,1.0,SK Telecom T1,1
218,WLDs,2015-10-01 16:18:38,1.0,H2k-Gaming,0
219,WLDs,2015-10-01 17:17:44,1.0,EDward Gaming,1
220,WLDs,2015-10-01 17:17:44,1.0,Bangkok Titans,0
221,WLDs,2015-10-01 18:07:28,1.0,Counter Logic Gaming,1
222,WLDs,2015-10-01 18:07:28,1.0,Flash Wolves,0
223,WLDs,2015-10-01 19:20:57,1.0,paiN Gaming,0
224,WLDs,2015-10-01 19:20:57,1.0,ROX Tigers,1
225,WLDs,2015-10-02 13:54:50,1.0,KT Rolster,1
226,WLDs,2015-10-02 13:54:50,1.0,TSM,0
227,WLDs,2015-10-02 15:02:10,1.0,LGD Gaming,0
228,WLDs,2015-10-02 15:02:10,1.0,Origen,1
229,WLDs,2015-10-02 16:32:01,1.0,Bangkok Titans,0
230,WLDs,2015-10-02 16:32:01,1.0,SK Telecom T1,1
231,WLDs,2015-10-02 17:30:36,1.0,H2k-Gaming,0
232,WLDs,2015-10-02 17:30:36,1.0,EDward Gaming,1
233,WLDs,2015-10-02 18:30:28,1.0,Flash Wolves,1
234,WLDs,2015-10-02 18:30:28,1.0,ROX Tigers,0
235,WLDs,2015-10-02 19:31:54,1.0,Counter Logic Gaming,1
236,WLDs,2015-10-02 19:31:54,1.0,paiN Gaming,0
237,WLDs,2015-10-03 11:51:50,1.0,EDward Gaming,0
238,WLDs,2015-10-03 11:51:50,1.0,SK Telecom T1,1
239,WLDs,2015-10-03 13:00:22,1.0,H2k-Gaming,1
240,WLDs,2015-10-03 13:00:22,1.0,Bangkok Titans,0
241,WLDs,2015-10-03 14:12:54,1.0,LGD Gaming,0
242,WLDs,2015-10-03 14:12:54,1.0,KT Rolster,1
243,WLDs,2015-10-03 15:19:05,1.0,Origen,1
244,WLDs,2015-10-03 15:19:05,1.0,TSM,0
245,WLDs,2015-10-03 16:21:30,1.0,Invictus Gaming,0
246,WLDs,2015-10-03 16:21:30,1.0,Cloud9,1
247,WLDs,2015-10-03 17:33:26,1.0,ahq eSports Club,1
248,WLDs,2015-10-03 17:33:26,1.0,Fnatic,0
249,WLDs,2015-10-04 11:55:00,1.0,TSM,1
250,WLDs,2015-10-04 11:55:00,1.0,LGD Gaming,0
251,WLDs,2015-10-04 12:56:44,1.0,KT Rolster,0
252,WLDs,2015-10-04 12:56:44,1.0,Origen,1
253,WLDs,2015-10-04 14:09:18,1.0,Invictus Gaming,1
254,WLDs,2015-10-04 14:09:18,1.0,ahq eSports Club,0
255,WLDs,2015-10-04 15:27:11,1.0,Cloud9,1
256,WLDs,2015-10-04 15:27:11,1.0,Fnatic,0
257,WLDs,2015-10-04 16:39:21,1.0,ROX Tigers,1
258,WLDs,2015-10-04 16:39:21,1.0,Counter Logic Gaming,0
259,WLDs,2015-10-04 17:37:50,1.0,paiN Gaming,1
260,WLDs,2015-10-04 17:37:50,1.0,Flash Wolves,0
261,WLDs,2015-10-08 11:49:52,1.0,Counter Logic Gaming,0
262,WLDs,2015-10-08 11:49:52,1.0,ROX Tigers,1
263,WLDs,2015-10-08 12:46:01,1.0,Flash Wolves,1
264,WLDs,2015-10-08 12:46:01,1.0,paiN Gaming,0
265,WLDs,2015-10-08 14:03:18,1.0,ROX Tigers,1
266,WLDs,2015-10-08 14:03:18,1.0,paiN Gaming,0
267,WLDs,2015-10-08 15:01:06,1.0,Flash Wolves,1
268,WLDs,2015-10-08 15:01:06,1.0,Counter Logic Gaming,0
269,WLDs,2015-10-08 16:05:56,1.0,ROX Tigers,0
270,WLDs,2015-10-08 16:05:56,1.0,Flash Wolves,1
271,WLDs,2015-10-08 17:05:43,1.0,paiN Gaming,1
272,WLDs,2015-10-08 17:05:43,1.0,Counter Logic Gaming,0
273,WLDs,2015-10-09 11:59:31,1.0,SK Telecom T1,1
274,WLDs,2015-10-09 11:59:31,1.0,EDward Gaming,0
275,WLDs,2015-10-09 12:48:47,1.0,Bangkok Titans,0
276,WLDs,2015-10-09 12:48:47,1.0,H2k-Gaming,1
277,WLDs,2015-10-09 13:50:11,1.0,Bangkok Titans,0
278,WLDs,2015-10-09 13:50:11,1.0,EDward Gaming,1
279,WLDs,2015-10-09 14:52:25,1.0,H2k-Gaming,0
280,WLDs,2015-10-09 14:52:25,1.0,SK Telecom T1,1
281,WLDs,2015-10-09 16:09:04,1.0,EDward Gaming,1
282,WLDs,2015-10-09 16:09:04,1.0,H2k-Gaming,0
283,WLDs,2015-10-09 17:07:37,1.0,SK Telecom T1,1
284,WLDs,2015-10-09 17:07:37,1.0,Bangkok Titans,0
285,WLDs,2015-10-10 09:46:10,1.0,TSM,0
286,WLDs,2015-10-10 09:46:10,1.0,Origen,1
287,WLDs,2015-10-10 11:20:12,1.0,KT Rolster,1
288,WLDs,2015-10-10 11:20:12,1.0,LGD Gaming,0
289,WLDs,2015-10-10 12:31:13,1.0,TSM,0
290,WLDs,2015-10-10 12:31:13,1.0,KT Rolster,1
291,WLDs,2015-10-10 14:08:09,1.0,Origen,0
292,WLDs,2015-10-10 14:08:09,1.0,LGD Gaming,1
293,WLDs,2015-10-10 14:53:51,1.0,Origen,0
294,WLDs,2015-10-10 14:53:51,1.0,KT Rolster,1
295,WLDs,2015-10-10 16:02:44,1.0,LGD Gaming,1
296,WLDs,2015-10-10 16:02:44,1.0,TSM,0
297,WLDs,2015-10-11 07:51:37,1.0,ahq eSports Club,1
298,WLDs,2015-10-11 07:51:37,1.0,Invictus Gaming,0
299,WLDs,2015-10-11 08:55:20,1.0,Fnatic,1
300,WLDs,2015-10-11 08:55:20,1.0,Cloud9,0
301,WLDs,2015-10-11 09:58:37,1.0,ahq eSports Club,1
302,WLDs,2015-10-11 09:58:37,1.0,Cloud9,0
303,WLDs,2015-10-11 10:42:06,1.0,Invictus Gaming,0
304,WLDs,2015-10-11 10:42:06,1.0,Fnatic,1
305,WLDs,2015-10-11 11:32:42,1.0,Cloud9,0
306,WLDs,2015-10-11 11:32:42,1.0,Invictus Gaming,1
307,WLDs,2015-10-11 12:47:04,1.0,Fnatic,1
308,WLDs,2015-10-11 12:47:04,1.0,ahq eSports Club,0
309,WLDs,2015-10-11 14:12:45,1.0,Cloud9,0
310,WLDs,2015-10-11 14:12:45,1.0,ahq eSports Club,1
311,WLDs,2015-10-15 15:43:10,1.0,Flash Wolves,0
312,WLDs,2015-10-15 15:43:10,1.0,Origen,1
313,WLDs,2015-10-15 17:15:22,2.0,Origen,1
314,WLDs,2015-10-15 17:15:22,2.0,Flash Wolves,0
315,WLDs,2015-10-15 18:20:12,3.0,Flash Wolves,1
316,WLDs,2015-10-15 18:20:12,3.0,Origen,0
317,WLDs,2015-10-15 19:24:02,4.0,Origen,1
318,WLDs,2015-10-15 19:24:02,4.0,Flash Wolves,0
319,WLDs,2015-10-16 15:34:50,1.0,SK Telecom T1,1
320,WLDs,2015-10-16 15:34:50,1.0,ahq eSports Club,0
321,WLDs,2015-10-16 17:05:47,2.0,ahq eSports Club,0
322,WLDs,2015-10-16 17:05:47,2.0,SK Telecom T1,1
