ime_ekipe,ime_igralca,tip,leto
EDward Gaming,Korol,WLDs,2014
EDward Gaming,Clearlove,WLDs,2014
EDward Gaming,U,WLDs,2014
EDward Gaming,NaMei,WLDs,2014
EDward Gaming,FZZF,WLDs,2014
Samsung White,Looper,WLDs,2014
Samsung White,DanDy,WLDs,2014
Samsung White,PawN,WLDs,2014
Samsung White,imp,WLDs,2014
Samsung White,Mata,WLDs,2014
TSM,Dyrus,WLDs,2014
TSM,Amazing,WLDs,2014
TSM,Bjergsen,WLDs,2014
TSM,WildTurtle,WLDs,2014
TSM,Lustboy,WLDs,2014
SK Gaming,fredy122,WLDs,2014
SK Gaming,Gilius,WLDs,2014
SK Gaming,Jesiz,WLDs,2014
SK Gaming,CandyPanda,WLDs,2014
SK Gaming,nRated,WLDs,2014
Dark Passage,fabFabulous,WLDs,2014
Dark Passage,Crystal,WLDs,2014
Dark Passage,Naru,WLDs,2014
Dark Passage,HolyPhoenix,WLDs,2014
Dark Passage,Touch,WLDs,2014
ahq eSports Club,Prydz,WLDs,2014
ahq eSports Club,Naz,WLDs,2014
ahq eSports Club,Westdoor,WLDs,2014
ahq eSports Club,GarnetDevil,WLDs,2014
ahq eSports Club,GreenTea,WLDs,2014
Taipei Assassins,Achie,WLDs,2014
Taipei Assassins,Winds,WLDs,2014
Taipei Assassins,Morning,WLDs,2014
Taipei Assassins,BeBe,WLDs,2014
Taipei Assassins,Chieh,WLDs,2014
Royal Club,Cola,WLDs,2014
Royal Club,inSec,WLDs,2014
Royal Club,Corn,WLDs,2014
Royal Club,Uzi,WLDs,2014
Royal Club,Zero,WLDs,2014
SK Gaming,Svenskeren,WLDs,2014
LMQ,GodLike,WLDs,2014
LMQ,NONAME,WLDs,2014
LMQ,XiaoWeiXiao,WLDs,2014
LMQ,Vasilii,WLDs,2014
LMQ,Mor,WLDs,2014
Oh My God,Gogoing,WLDs,2014
Oh My God,LoveLing,WLDs,2014
Oh My God,Cool,WLDs,2014
Oh My God,san,WLDs,2014
Oh My God,Da7,WLDs,2014
NaJin White Shield,Save,WLDs,2014
NaJin White Shield,Watch,WLDs,2014
NaJin White Shield,Ggoong,WLDs,2014
NaJin White Shield,Zefa,WLDs,2014
NaJin White Shield,GorillA,WLDs,2014
KaBuM! e-Sports,Lep,WLDs,2014
KaBuM! e-Sports,Danagorn,WLDs,2014
KaBuM! e-Sports,tinowns,WLDs,2014
KaBuM! e-Sports,Minerva,WLDs,2014
KaBuM! e-Sports,dans,WLDs,2014
Samsung Blue,Acorn,WLDs,2014
Samsung Blue,Spirit,WLDs,2014
Samsung Blue,dade,WLDs,2014
Samsung Blue,Deft,WLDs,2014
Samsung Blue,Heart,WLDs,2014
Cloud9,BalIs,WLDs,2014
Cloud9,Meteos,WLDs,2014
Cloud9,Hai,WLDs,2014
Cloud9,Sneaky,WLDs,2014
Cloud9,LemonNation,WLDs,2014
Alliance,Wickd,WLDs,2014
Alliance,Shook,WLDs,2014
Alliance,Froggen,WLDs,2014
Alliance,Tabzz,WLDs,2014
Alliance,Nyph,WLDs,2014
Fnatic,sOAZ,WLDs,2014
Fnatic,Cyanide,WLDs,2014
Fnatic,xPeke,WLDs,2014
Fnatic,Rekkles,WLDs,2014
Fnatic,YellOwStaR,WLDs,2014
Oh My God,CL0UD,WLDs,2014
Fnatic,Huni,MSI,2015
Fnatic,Reignover,MSI,2015
Fnatic,FEBIVEN,MSI,2015
Fnatic,Steeelback,MSI,2015
Fnatic,YellOwStaR,MSI,2015
TSM,Dyrus,MSI,2015
TSM,Santorin,MSI,2015
TSM,Bjergsen,MSI,2015
TSM,WildTurtle,MSI,2015
TSM,Lustboy,MSI,2015
Beşiktaş Esports,Thaldrin,MSI,2015
Beşiktaş Esports,Theokoles,MSI,2015
Beşiktaş Esports,Energy,MSI,2015
Beşiktaş Esports,Nardeus,MSI,2015
Beşiktaş Esports,Dumbledoge,MSI,2015
SK Telecom T1,MaRin,MSI,2015
SK Telecom T1,Bengi,MSI,2015
SK Telecom T1,Faker,MSI,2015
SK Telecom T1,Bang,MSI,2015
SK Telecom T1,Wolf,MSI,2015
EDward Gaming,Korol,MSI,2015
EDward Gaming,Clearlove,MSI,2015
EDward Gaming,PawN,MSI,2015
EDward Gaming,Deft,MSI,2015
EDward Gaming,Meiko,MSI,2015
ahq eSports Club,Ziv,MSI,2015
ahq eSports Club,Mountain,MSI,2015
ahq eSports Club,Westdoor,MSI,2015
ahq eSports Club,An,MSI,2015
ahq eSports Club,Albis,MSI,2015
SK Telecom T1,Easyhoon,MSI,2015
Fnatic,Huni,WLDs,2015
Fnatic,Reignover,WLDs,2015
Fnatic,FEBIVEN,WLDs,2015
Fnatic,Rekkles,WLDs,2015
Fnatic,YellOwStaR,WLDs,2015
Invictus Gaming,Zz1tai,WLDs,2015
Invictus Gaming,KaKAO,WLDs,2015
Invictus Gaming,Rookie,WLDs,2015
Invictus Gaming,Kid,WLDs,2015
Invictus Gaming,Kitties,WLDs,2015
Cloud9,BalIs,WLDs,2015
Cloud9,Hai,WLDs,2015
Cloud9,Jensen,WLDs,2015
Cloud9,Sneaky,WLDs,2015
Cloud9,LemonNation,WLDs,2015
ahq eSports Club,Ziv,WLDs,2015
ahq eSports Club,Mountain,WLDs,2015
ahq eSports Club,Westdoor,WLDs,2015
ahq eSports Club,An,WLDs,2015
ahq eSports Club,Albis,WLDs,2015
SK Telecom T1,MaRin,WLDs,2015
SK Telecom T1,Bengi,WLDs,2015
SK Telecom T1,Faker,WLDs,2015
SK Telecom T1,Bang,WLDs,2015
SK Telecom T1,Wolf,WLDs,2015
H2k-Gaming,Odoamne,WLDs,2015
H2k-Gaming,Loulex,WLDs,2015
H2k-Gaming,Ryu,WLDs,2015
H2k-Gaming,Hjarnan,WLDs,2015
H2k-Gaming,Kasing,WLDs,2015
EDward Gaming,AmazingJ,WLDs,2015
EDward Gaming,Clearlove,WLDs,2015
EDward Gaming,PawN,WLDs,2015
EDward Gaming,Deft,WLDs,2015
EDward Gaming,Meiko,WLDs,2015
Bangkok Titans,WarL0cK,WLDs,2015
Bangkok Titans,007x,WLDs,2015
