tip,leto,datum,cas,st_igre,ime_ekipe,zmaga
WLDs,2014,2014-09-18,08:59:56,1.0,EDward Gaming,0
WLDs,2014,2014-09-18,08:59:56,1.0,Samsung White,1
WLDs,2014,2014-09-18,10:38:54,1.0,TSM,1
WLDs,2014,2014-09-18,10:38:54,1.0,SK Gaming,0
WLDs,2014,2014-09-18,11:21:43,1.0,Dark Passage,0
WLDs,2014,2014-09-18,11:21:43,1.0,ahq eSports Club,1
WLDs,2014,2014-09-18,12:33:15,1.0,Taipei Assassins,0
WLDs,2014,2014-09-18,12:33:15,1.0,Royal Club,1
WLDs,2014,2014-09-18,14:02:55,1.0,Samsung White,1
WLDs,2014,2014-09-18,14:02:55,1.0,ahq eSports Club,0
WLDs,2014,2014-09-18,14:50:18,1.0,Royal Club,1
WLDs,2014,2014-09-18,14:50:18,1.0,TSM,0
WLDs,2014,2014-09-19,09:00:49,1.0,Taipei Assassins,1
WLDs,2014,2014-09-19,09:00:49,1.0,SK Gaming,0
WLDs,2014,2014-09-19,10:11:46,1.0,EDward Gaming,1
WLDs,2014,2014-09-19,10:11:46,1.0,Dark Passage,0
WLDs,2014,2014-09-19,11:17:24,1.0,Royal Club,1
WLDs,2014,2014-09-19,11:17:24,1.0,SK Gaming,0
WLDs,2014,2014-09-19,12:19:27,1.0,Dark Passage,0
WLDs,2014,2014-09-19,12:19:27,1.0,Samsung White,1
WLDs,2014,2014-09-19,13:15:17,1.0,TSM,1
WLDs,2014,2014-09-19,13:15:17,1.0,Taipei Assassins,0
WLDs,2014,2014-09-19,14:19:56,1.0,EDward Gaming,1
WLDs,2014,2014-09-19,14:19:56,1.0,ahq eSports Club,0
WLDs,2014,2014-09-20,09:00:00,1.0,Samsung White,1
WLDs,2014,2014-09-20,09:00:00,1.0,Dark Passage,0
WLDs,2014,2014-09-20,09:51:43,1.0,SK Gaming,0
WLDs,2014,2014-09-20,09:51:43,1.0,Royal Club,1
WLDs,2014,2014-09-20,10:52:13,1.0,ahq eSports Club,0
WLDs,2014,2014-09-20,10:52:13,1.0,Samsung White,1
WLDs,2014,2014-09-20,11:49:40,1.0,Taipei Assassins,0
WLDs,2014,2014-09-20,11:49:40,1.0,TSM,1
WLDs,2014,2014-09-20,12:48:58,1.0,Dark Passage,0
WLDs,2014,2014-09-20,12:48:58,1.0,EDward Gaming,1
WLDs,2014,2014-09-20,13:44:25,1.0,SK Gaming,1
WLDs,2014,2014-09-20,13:44:25,1.0,Taipei Assassins,0
WLDs,2014,2014-09-21,08:58:17,1.0,TSM,1
WLDs,2014,2014-09-21,08:58:17,1.0,Royal Club,0
WLDs,2014,2014-09-21,10:21:51,1.0,ahq eSports Club,1
WLDs,2014,2014-09-21,10:21:51,1.0,Dark Passage,0
WLDs,2014,2014-09-21,11:23:59,1.0,Royal Club,1
WLDs,2014,2014-09-21,11:23:59,1.0,Taipei Assassins,0
WLDs,2014,2014-09-21,12:16:51,1.0,ahq eSports Club,1
WLDs,2014,2014-09-21,12:16:51,1.0,EDward Gaming,0
WLDs,2014,2014-09-21,13:47:17,1.0,SK Gaming,1
WLDs,2014,2014-09-21,13:47:17,1.0,TSM,0
WLDs,2014,2014-09-21,14:49:11,1.0,Samsung White,1
WLDs,2014,2014-09-21,14:49:11,1.0,EDward Gaming,0
WLDs,2014,2014-09-21,16:00:19,1.0,EDward Gaming,1
WLDs,2014,2014-09-21,16:00:19,1.0,ahq eSports Club,0
WLDs,2014,2014-09-25,09:15:13,1.0,LMQ,1
WLDs,2014,2014-09-25,09:15:13,1.0,Oh My God,0
WLDs,2014,2014-09-25,10:20:08,1.0,NaJin White Shield,1
WLDs,2014,2014-09-25,10:20:08,1.0,KaBuM! e-Sports,0
WLDs,2014,2014-09-25,11:16:07,1.0,Samsung Blue,1
WLDs,2014,2014-09-25,11:16:07,1.0,Oh My God,0
WLDs,2014,2014-09-25,12:18:29,1.0,Cloud9,1
WLDs,2014,2014-09-25,12:18:29,1.0,Alliance,0
WLDs,2014,2014-09-25,13:43:26,1.0,Fnatic,0
WLDs,2014,2014-09-25,13:43:26,1.0,LMQ,1
WLDs,2014,2014-09-25,14:36:24,1.0,Cloud9,1
WLDs,2014,2014-09-25,14:36:24,1.0,KaBuM! e-Sports,0
WLDs,2014,2014-09-26,08:59:17,1.0,NaJin White Shield,1
WLDs,2014,2014-09-26,08:59:17,1.0,Alliance,0
WLDs,2014,2014-09-26,10:17:33,1.0,Samsung Blue,0
WLDs,2014,2014-09-26,10:17:33,1.0,Fnatic,1
WLDs,2014,2014-09-26,11:29:59,1.0,NaJin White Shield,1
WLDs,2014,2014-09-26,11:29:59,1.0,Cloud9,0
WLDs,2014,2014-09-26,12:34:52,1.0,Oh My God,1
WLDs,2014,2014-09-26,12:34:52,1.0,Fnatic,0
WLDs,2014,2014-09-26,13:45:59,1.0,Alliance,1
WLDs,2014,2014-09-26,13:45:59,1.0,KaBuM! e-Sports,0
WLDs,2014,2014-09-26,14:48:59,1.0,Samsung Blue,1
WLDs,2014,2014-09-26,14:48:59,1.0,LMQ,0
WLDs,2014,2014-09-27,06:05:33,1.0,Fnatic,0
WLDs,2014,2014-09-27,06:05:33,1.0,Oh My God,1
WLDs,2014,2014-09-27,07:38:16,1.0,Alliance,1
WLDs,2014,2014-09-27,07:38:16,1.0,Cloud9,0
WLDs,2014,2014-09-27,08:51:57,1.0,LMQ,0
WLDs,2014,2014-09-27,08:51:57,1.0,Fnatic,1
WLDs,2014,2014-09-27,09:58:53,1.0,KaBuM! e-Sports,0
WLDs,2014,2014-09-27,09:58:53,1.0,NaJin White Shield,1
WLDs,2014,2014-09-27,11:05:58,1.0,Oh My God,0
WLDs,2014,2014-09-27,11:05:58,1.0,Samsung Blue,1
WLDs,2014,2014-09-27,12:11:08,1.0,Alliance,1
WLDs,2014,2014-09-27,12:11:08,1.0,NaJin White Shield,0
WLDs,2014,2014-09-28,05:56:38,1.0,KaBuM! e-Sports,0
WLDs,2014,2014-09-28,05:56:38,1.0,Cloud9,1
WLDs,2014,2014-09-28,07:00:01,1.0,LMQ,0
WLDs,2014,2014-09-28,07:00:01,1.0,Samsung Blue,1
WLDs,2014,2014-09-28,08:12:36,1.0,KaBuM! e-Sports,1
WLDs,2014,2014-09-28,08:12:36,1.0,Alliance,0
WLDs,2014,2014-09-28,09:14:58,1.0,Fnatic,0
WLDs,2014,2014-09-28,09:14:58,1.0,Samsung Blue,1
WLDs,2014,2014-09-28,10:30:10,1.0,Cloud9,1
WLDs,2014,2014-09-28,10:30:10,1.0,NaJin White Shield,0
WLDs,2014,2014-09-28,11:56:48,1.0,Oh My God,1
WLDs,2014,2014-09-28,11:56:48,1.0,LMQ,0
WLDs,2014,2014-09-28,13:01:35,1.0,NaJin White Shield,1
WLDs,2014,2014-09-28,13:01:35,1.0,Cloud9,0
WLDs,2014,2014-10-03,08:00:15,1.0,Samsung White,1
WLDs,2014,2014-10-03,08:00:15,1.0,TSM,0
WLDs,2014,2014-10-03,08:52:20,2.0,TSM,0
WLDs,2014,2014-10-03,08:52:20,2.0,Samsung White,1
WLDs,2014,2014-10-03,09:46:18,3.0,Samsung White,0
WLDs,2014,2014-10-03,09:46:18,3.0,TSM,1
WLDs,2014,2014-10-03,10:34:01,4.0,TSM,0
WLDs,2014,2014-10-03,10:34:01,4.0,Samsung White,1
WLDs,2014,2014-10-04,04:57:23,1.0,Samsung Blue,0
WLDs,2014,2014-10-04,04:57:23,1.0,Cloud9,1
WLDs,2014,2014-10-04,06:03:58,2.0,Cloud9,0
WLDs,2014,2014-10-04,06:03:58,2.0,Samsung Blue,1
WLDs,2014,2014-10-04,07:08:31,3.0,Samsung Blue,1
WLDs,2014,2014-10-04,07:08:31,3.0,Cloud9,0
WLDs,2014,2014-10-04,08:06:32,4.0,Cloud9,0
WLDs,2014,2014-10-04,08:06:32,4.0,Samsung Blue,1
WLDs,2014,2014-10-05,04:59:34,1.0,Royal Club,1
WLDs,2014,2014-10-05,04:59:34,1.0,EDward Gaming,0
WLDs,2014,2014-10-05,06:00:26,2.0,EDward Gaming,0
WLDs,2014,2014-10-05,06:00:26,2.0,Royal Club,1
WLDs,2014,2014-10-05,06:57:52,3.0,Royal Club,0
WLDs,2014,2014-10-05,06:57:52,3.0,EDward Gaming,1
WLDs,2014,2014-10-05,08:01:11,4.0,EDward Gaming,1
WLDs,2014,2014-10-05,08:01:11,4.0,Royal Club,0
WLDs,2014,2014-10-05,08:50:39,5.0,Royal Club,1
WLDs,2014,2014-10-05,08:50:39,5.0,EDward Gaming,0
WLDs,2014,2014-10-06,08:01:31,1.0,NaJin White Shield,0
WLDs,2014,2014-10-06,08:01:31,1.0,Oh My God,1
WLDs,2014,2014-10-06,09:14:17,2.0,Oh My God,1
WLDs,2014,2014-10-06,09:14:17,2.0,NaJin White Shield,0
WLDs,2014,2014-10-06,10:25:38,3.0,NaJin White Shield,0
WLDs,2014,2014-10-06,10:25:38,3.0,Oh My God,1
