"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"ahq eSports Club",7,3,4,35.6,107,140,0.76,0.99,-2.13,"-11.7%",,,-2973,"57%","57%","29%",,,"29%","32%",,"29%","22%","48.2%","44.2%",2.95,0.44,0.67
"Alliance",6,3,3,38.9,77,54,1.43,0.56,0.64,"1.5%",,,630,"67%","17%","50%",,,"67%","36%",,"50%","56%","52.4%","45.9%",2.83,0.59,0.89
"Cloud9",11,5,6,36.7,142,175,0.81,0.79,0.07,"-1.3%",,,533,"36%","64%","45%",,,"36%","54%",,"55%","46%","48.5%","50.3%",2.56,0.5,1.12
"Dark Passage",6,0,6,30,20,124,0.16,0.8,-4.1,"-38.5%",,,-3093,"17%","0%","0%",,,"50%","15%",,"0%","0%","46.2%","47.4%",2.63,0.5,0.76
"EDward Gaming",12,6,6,36.2,195,169,1.15,0.84,1.44,"8.3%",,,1700,"58%","42%","75%",,,"58%","63%",,"58%","53%","50.6%","51.6%",2.69,0.57,0.98
"Fnatic",6,2,4,44.7,77,83,0.93,0.6,-0.69,"-1.5%",,,-602,"50%","50%","50%",,,"50%","47%",,"33%","42%","50.6%","45.1%",3.28,0.64,1.11
"KaBuM! Esports",6,1,5,34.4,36,79,0.46,0.56,-1.95,"-18.4%",,,-1466,"50%","50%","33%",,,"33%","25%",,"17%","14%","47.5%","48.1%",2.52,0.57,0.83
"LMQ",6,2,4,37.1,68,113,0.6,0.81,-1.82,"-13.8%",,,-1365,"67%","67%","17%",,,"67%","32%",,"50%","50%","48.0%","45.8%",2.75,0.51,0.98
"NaJin White Shield",10,5,5,40.2,117,126,0.93,0.6,-0.14,"4.3%",,,126,"40%","50%","70%",,,"60%","57%",,"60%","60%","50.7%","49.4%",3.26,0.68,1.14
"Oh My God",14,8,6,40.2,225,188,1.2,0.73,1.13,"3.7%",,,896,"29%","64%","57%",,,"43%","62%",,"43%","45%","51.0%","54.4%",3.08,0.5,1
"Royal Club",20,12,8,35.4,311,299,1.04,0.86,-0.31,"0.9%",,,-340,"55%","50%","30%",,,"65%","47%",,"65%","76%","48.9%","52.0%",2.56,0.47,0.88
"Samsung Blue",13,8,5,34.2,216,201,1.07,0.94,0.14,"0.8%",,,-877,"62%","31%","54%",,,"38%","49%",,"46%","53%","49.9%","53.0%",3.04,0.66,1.14
"Samsung White",17,15,2,29.2,384,134,2.87,1.04,3.13,"27.1%",,,3125,"65%","71%","76%",,,"65%","77%",,"53%","88%","53.3%","52.9%",3.19,0.6,0.91
"SK Gaming",6,2,4,39.2,71,114,0.62,0.78,-1.01,"-12.1%",,,-1483,"17%","67%","67%",,,"33%","46%",,"50%","45%","49.8%","45.7%",2.39,0.38,0.72
"Taipei Assassins",6,1,5,41.2,59,93,0.63,0.61,-1.36,"-18.4%",,,-1366,"50%","17%","33%",,,"17%","19%",,"0%","10%","49.3%","48.5%",2.85,0.44,0.8
"TSM",10,5,5,34.3,129,146,0.88,0.8,0.16,"2.0%",,,-171,"60%","60%","60%",,,"50%","61%",,"30%","36%","50.2%","47.5%",2.78,0.58,0.8
