"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"3z","Hong Kong Attitude","Top",6,"0%","83%",10,16,18,1.8,"50.9%","18.2%","19.3%","50%",-2,100,-2.5,7.7,"24.9%",363,"24.3%",,216,"21.7%",,0.5,0.21,0.22
"Alex","ahq eSports Club","Jungle",6,"0%","67%",9,17,22,1.8,"68.9%","20.0%","23.3%","50%",-163,-229,-5.3,5.1,"15.8%",184,"11.6%",,178,"18.8%",,0.57,0.38,0.48
"Apex","ahq eSports Club","Middle",1,"0%","0%",1,1,1,2,"100.0%","50.0%","7.7%","0%",-195,-92,-8,9.2,"27.6%",403,"30.6%",,211,"25.8%",,0.51,0.31,0.17
"Baolan","Invictus Gaming","Support",14,"57%","71%",9,49,107,2.4,"55.5%","4.3%","21.6%","7%",-250,-156,1.3,1.3,"4.3%",130,"6.6%",,103,"8.5%",,1.73,0.63,0.48
"BeryL","Dplus KIA","Support",10,"60%","80%",7,26,89,3.7,"69.1%","5.0%","22.6%","20%",-25,18,-0.6,1.9,"6.4%",150,"9.4%",,128,"10.3%",,1.84,0.65,0.49
"Blaber","Cloud9","Jungle",3,"33%","67%",10,14,14,1.7,"75.0%","31.3%","25.9%","0%",83,114,5,5.3,"16.5%",401,"23.0%",,220,"20.0%",,0.92,0.24,0.35
"Broxah","Fnatic","Jungle",10,"50%","40%",28,17,64,5.4,"67.2%","20.4%","11.3%","30%",-229,-181,-3.7,4.4,"12.2%",224,"12.1%",,187,"15.6%",,0.74,0.35,0.32
"Bwipo","Fnatic","Top",10,"50%","50%",31,38,56,2.3,"63.5%","22.6%","25.2%","20%",116,-73,-0.6,7.3,"22.6%",459,"24.3%",,256,"22.0%",,0.48,0.2,0.17
"Canyon","Dplus KIA","Jungle",10,"60%","20%",29,27,64,3.4,"66.9%","20.9%","23.5%","20%",60,176,6.8,5,"12.7%",294,"17.9%",,203,"16.7%",,0.84,0.44,0.38
"Caps","G2 Esports","Middle",18,"61%","50%",59,46,96,3.4,"64.0%","24.4%","17.8%","22%",193,114,4.4,8.5,"24.1%",426,"24.8%",,277,"23.6%",,0.43,0.15,0.18
"Chovy","Griffin","Middle",11,"64%","64%",30,16,66,6,"56.1%","17.5%","15.2%","36%",129,196,3.7,8.6,"25.1%",447,"21.8%",,263,"21.9%",,0.48,0.17,0.38
"Clid","SK Telecom T1","Jungle",14,"64%","29%",36,32,109,4.5,"66.8%","16.6%","18.6%","50%",119,53,2.3,5.1,"14.2%",284,"16.2%",,211,"16.6%",,1,0.42,0.44
"Cody Sun","Clutch Gaming","ADC",6,"0%","67%",11,26,22,1.3,"56.9%","19.0%","23.9%","0%",-172,8,-4.3,7.7,"26.4%",374,"20.3%",,225,"22.8%",,0.38,0.17,0.27
"CoreJJ","Team Liquid","Support",6,"50%","33%",5,17,42,2.8,"72.3%","7.7%","20.0%","33%",139,25,-1,1.2,"4.6%",126,"7.9%",,110,"9.9%",,1.54,0.4,0.5
"Crash","Hong Kong Attitude","Jungle",6,"0%","50%",9,21,26,1.7,"63.6%","16.4%","25.3%","50%",30,9,-4.3,4.7,"12.3%",198,"12.8%",,169,"16.9%",,0.79,0.32,0.32
"Crisp","FunPlus Phoenix","Support",18,"78%","44%",23,40,213,5.9,"70.4%","6.9%","20.1%","39%",125,-107,-0.6,1.5,"5.4%",144,"7.4%",,144,"11.3%",,1.68,0.56,0.31
"Damonte","Clutch Gaming","Middle",6,"0%","33%",12,19,20,1.7,"55.2%","20.7%","17.4%","17%",-164,-126,-2.8,8.5,"26.3%",444,"25.2%",,240,"23.3%",,0.47,0.21,0.18
"Deftly","Cloud9","ADC",1,"100%","0%",5,0,2,7,"63.6%","45.5%","0.0%","0%",-771,-210,-30,8.4,"25.8%",375,"27.9%",,292,"24.5%",,0.32,0.11,0.29
"Doinb","FunPlus Phoenix","Middle",18,"78%","33%",80,36,156,6.6,"70.4%","23.9%","18.1%","44%",14,6,-1.3,8.5,"26.7%",501,"26.7%",,300,"23.5%",,0.44,0.14,0.23
"Doublelift","Team Liquid","ADC",6,"50%","17%",21,16,26,2.9,"72.3%","32.3%","18.8%","33%",-118,40,-1.3,10,"34.0%",412,"25.5%",,319,"29.0%",,0.4,0.12,0.4
"Effort","SK Telecom T1","Support",12,"75%","33%",8,43,97,2.4,"57.4%","4.4%","32.8%","33%",-61,77,0.1,1.3,"4.4%",132,"7.7%",,127,"9.8%",,1.81,0.55,0.4
"Faker","SK Telecom T1","Middle",14,"64%","64%",51,34,77,3.8,"59.0%","23.5%","19.8%","43%",221,150,2.1,8.8,"24.9%",401,"23.1%",,296,"23.3%",,0.54,0.24,0.28
"FOFO","J Team","Middle",6,"50%","67%",22,15,25,3.1,"66.2%","31.0%","18.5%","0%",-93,-45,2.5,8.9,"27.9%",545,"30.1%",,277,"25.1%",,0.34,0.09,0.21
